# Slice 2 rating set: Irene's own queries plus the genre-anchored controls.
# Deliberately not the genre-less "music for X" form — E2 showed the planner does nothing
# there, so rating it would spend time confirming a null.
compound	irene	fast, upbeat rap and hip hop for running
compound	irene	chill r&b and hip hop for studying
compound	irene	pre-game and club dance hip hop
compound	irene	west coast hip hop drive
compound	irene	afrobeats songs for the summer
compound	irene	girly pop songs to get ready to
compound	irene	groovy jazz rap
context	irene	late night drive vibes
acoustic	irene	romantic classical piano
acoustic	irene	songs with heavy bass
mood	claude	melancholy and heartbroken
mood	claude	calm and peaceful
compound	claude	hip hop for falling asleep
compound	claude	jazz for studying
